Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2000,Mac Tuiaea,Washington,DT,78,296,,5.09,25,29.0,99,4.72,7.82
2000,Ryan Tujague,Washington State,OG,77,297,,5.16,21,27.0,96,4.95,8.18
2000,Jeff Ulbrich,Hawaii,ILB,73,249,,4.65,24,32.0,109,4.30,7.23
2000,Brian Urlacher,New Mexico,OLB,76,258,,4.59,27,34.0,122,4.18,6.94
2000,Darrick Vaughn,Texas State,CB,71,196,,4.53,14,36.5,121,4.16,7.09
2000,Andy Vincent,Texas A&M,OG,76,306,,5.20,14,28.5,108,4.42,7.54
2000,Todd Wade,Mississippi,OT,80,326,,5.22,29,27.5,101,4.68,7.68
2000,Troy Walters,Stanford,WR,67,171,,*4.55,,32.5,106,3.84,6.61
2000,Steve Warren,Nebraska,DT,73,307,,5.10,29,30.5,105,4.56,7.97
2000,Marcus Washington,Auburn,OLB,75,252,,4.67,,35.0,118,4.49,6.91
2000,Jason Webster,Texas A&M,CB,69,180,,4.42,17,35.5,122,3.98,6.76
2000,James Whalen,Kentucky,TE,75,228,,4.78,,31.0,110,4.22,7.42
2000,Austin Wheatley,Iowa,TE,76,254,,4.66,,32.5,121,4.18,6.97
2000,Damon Wheeler,Colorado,CB,69,179,,4.51,11,35.0,115,4.27,7.21
2000,Anthony White,Kentucky,RB,73,195,,4.68,,32.5,118,4.24,7.05
2000,Dez White,Georgia Tech,WR,73,218,,*4.62,,37.5,124,4.09,6.91
2000,Bobby Williams,Arkansas,OT,76,332,,5.31,28,29.0,97,4.72,7.78
2000,Jack Williams,Azusa Pacific,SS,70,206,,4.72,15,31.5,108,4.65,7.15
2000,James Williams,Marshall,WR,71,180,,4.59,,36.0,123,4.16,7.22
2000,Josh Williams,Michigan,DT,76,282,,4.90,,30.5,111,4.25,7.22
2000,Antonio Wilson,Texas A&M-Commerce,OLB,74,245,,4.56,11,,,,
2000,Cedric Woodard,Texas,DT,75,290,,5.21,23,30.5,109,,
2000,Destry Wright,Jackson State,RB,71,216,,4.84,15,29.5,112,4.41,7.15
2000,Spergon Wynn,Texas State,QB,76,229,25,4.91,,34.0,108,4.59,7.71
2000,Bashir Yamini,Iowa,WR,75,191,,4.53,,33.0,130,4.18,7.09
